 Z=0.001
   Mass      He            C12         016         N14        C13          Ne           Mg          Si         Fe         N14s         C13s         S32         Ca         Rem
 0.75000E+01 0.75431E+00 0.00000E+00 0.00000E+00 0.26740E-02 0.26572E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11415E+01
 0.80000E+01 0.82232E+00 0.00000E+00 0.00000E+00 0.40125E-02 0.72251E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11961E+01
 0.85000E+01 0.89033E+00 0.00000E+00 0.00000E+00 0.53510E-02 0.11793E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12507E+01
 0.90000E+01 0.96895E+00 0.00000E+00 0.00000E+00 0.93149E-02 0.26303E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13118E+01
 0.95000E+01 0.10476E+01 0.68700E-05 0.00000E+00 0.13279E-01 0.40813E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13729E+01
 0.10000E+02 0.11262E+01 0.46626E-03 0.00000E+00 0.17243E-01 0.55323E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14340E+01
 0.10500E+02 0.12048E+01 0.92565E-03 0.00000E+00 0.21207E-01 0.69833E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14951E+01
  
 
 
 
 
 
 
 
 
