 Z=0.004
   Mass      He            C12         016         N14          C13          Ne           Mg          Si         Fe         N14s         C13s         S32         Ca         Rem
 0.75000E+01 0.67998E+00 0.00000E+01 0.00000E+01 0.71310E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10087E+01
 0.80000E+01 0.75295E+00 0.00000E+01 0.00000E+01 0.93740E-02 0.33220E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10939E+01
 0.85000E+01 0.82592E+00 0.00000E+01 0.00000E+01 0.11617E-01 0.12852E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11791E+01
 0.90000E+01 0.89889E+00 0.00000E+01 0.00000E+01 0.13860E-01 0.22382E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12643E+01
 0.95000E+01 0.98302E+00 0.00000E+01 0.00000E+01 0.20097E-01 0.47599E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13226E+01
 0.10000E+02 0.10643E+01 0.00000E+01 0.00000E+01 0.23413E-01 0.78684E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13774E+01
 0.10500E+02 0.11456E+01 0.00000E+01 0.00000E+01 0.26729E-01 0.10977E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14322E+01
  
 
 
 
 
 
 
 
 
