 Z=0.008
   Mass      He            C12         016         N14         C13          Ne           Mg          Si         Fe         N14s         C13s         S32         Ca         Rem
 0.75000E+01 0.55667E+00 0.00000E+00 0.00000E+00 0.14819E-01 0.57090E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10227E+01
 0.80000E+01 0.64293E+00 0.00000E+00 0.00000E+00 0.16639E-01 0.10548E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10713E+01
 0.85000E+01 0.72919E+00 0.00000E+00 0.00000E+00 0.18459E-01 0.15387E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11199E+01
 0.90000E+01 0.81545E+00 0.00000E+00 0.00000E+00 0.20279E-01 0.20226E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11685E+01
 0.95000E+01 0.90171E+00 0.00000E+00 0.00000E+00 0.22099E-01 0.25065E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12171E+01
 0.10000E+02 0.99332E+00 0.00000E+00 0.00000E+00 0.28780E-01 0.50059E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13174E+01
 0.10500E+02 0.10849E+01 0.00000E+00 0.00000E+00 0.35461E-01 0.75053E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14177E+01
  
 
 
 
 
 
 
 
 
