 Z=10-8
   Mass      He            C12         016         N14        C13          Ne           Mg          Si         Fe	         N14s         C13s         S32         Ca         Rem	        
 0.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50000E+00
 2.00000E+00 0.12000E+00 0.77000E-02 0.11000E-02 0.64000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.56000E+00							  
 3.00000E+00 0.14000E+00 0.24000E-02 0.70000E-03 0.16000E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.76000E+00
 5.00000E+00 0.45000E+00 0.45000E-02 0.18000E-02 0.43000E-02 0.10500E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.86000E+00
 7.00000E+00 0.80000E+00 0.18000E-01 0.56000E-02 0.42000E-02 0.25500E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10200E+01
 9.00000E+00 0.14300E+01 0.81800E-01 0.58400E-01 0.25300E-02 0.00000E+00 0.31200E-01 0.92000E-02 0.23000E-01 4.20960E-02 0.00000E+00 0.96000E-03 0.10400E-01 0.13500E-02 0.12865E+01
 1.20000E+01 0.18900E+01 0.28390E+00 0.38292E+00 0.17800E-01 0.00000E+00 0.23200E-01 0.82000E-02 0.92700E-01 4.20960E-02 0.00000E+00 0.10200E-02 0.79400E-01 0.15000E-01 0.14810E+01
 1.50000E+01 0.27500E+01 0.48600E+00 0.76000E+00 0.33300E-01 0.00000E+00 0.11100E+00 0.26700E-01 0.11560E+00 1.60320E-01 0.00000E+00 0.12900E-02 0.14900E-01 0.11100E-01 0.16755E+01
 2.00000E+01 0.31500E+01 0.82300E+00 0.13500E+01 0.59000E-01 0.00000E+00 0.10500E+00 0.31300E-01 0.29990E+00 2.64360E-04 0.00000E+00 0.13300E-02 0.17550E+00 0.14800E-01 0.20000E+01
 2.50000E+01 0.38650E+01 1.33550E-03 0.60500E-03 0.90750E-03 0.00000E+00 0.39400E+00 0.10600E+00 0.33910E+00 6.22480E-14 0.00000E+00 0.14500E-02 0.14880E+00 0.16900E-01 0.25660E+01
 4.00000E+01 0.56800E+01 5.34000E-03 2.42000E-03 3.63000E-03 0.00000E+00 0.12400E+01 0.23000E+00 0.80100E-01 2.51650E-14 0.00000E+00 0.16200E-02 0.12500E-01 0.16000E-02 0.35800E+02
 6.00000E+01 0.89700E+01 1.80000E-05 5.48000E-05 6.87000E-04 0.00000E+00 0.21000E+01 0.27600E+00 0.00000E+00 1.94070E-17 0.00000E+00 0.16200E-02 0.12500E-01 0.16000E-02 0.49000E+02
 1.00000E+02 0.16800E+02 6.34000E+00 3.02000E+00 1.75000E+00 0.00000E+00 0.21000E+01 0.27600E+00 0.00000E+00 1.22340E-15 0.00000E+00 0.16200E-02 0.12500E-01 0.16000E-02 0.19900E+02
  
