M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
ba134   2.0000D-05   3.6327D-10     2.1459D-09    4.7632D-02    5.3452D-10    5.2500D-02  
ba135   2.0000D-05   9.9387D-10     1.5977D-09 	  4.7632D-02	4.5666D-10    5.2500D-02
ba136   2.0000D-05   1.1940D-09     7.4264D-09 	  4.7632D-02	1.8536D-09    5.2500D-02
ba137   2.0000D-05   1.7173D-09     1.1975D-08 	  4.7632D-02	5.9490D-09    5.2500D-02
ba138   2.0000D-05   1.1052D-08     1.3810D-07 	  4.7632D-02	2.7315D-08    5.2500D-02
ba139   2.0000D-05   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02
ba140   2.0000D-05   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02
la139   2.0000D-05   1.5419D-09     1.5006D-08 	  4.7632D-02	2.8752D-09    5.2500D-02
la140   2.0000D-05   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02
la141   2.0000D-05   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02
ce140   2.0000D-05   3.4994D-09     5.6677D-08 	  4.7632D-02	8.8638D-09    5.2500D-02
ce141   2.0000D-05   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02
ce142   2.0000D-05   4.4500D-10     5.1887D-09    4.7632D-02	1.5685D-09    5.2500D-02
ce143   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pr141   2.0000D-05   5.8565D-10     5.8742D-09    4.7632D-02	9.1280D-10    5.2500D-02
pr142   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pr143   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
nd142   2.0000D-05   7.9465D-10     1.4467D-08    4.7632D-02	1.9288D-09    5.2500D-02
nd143   2.0000D-05   3.5566D-10     2.5915D-09    4.7632D-02	4.4710D-10    5.2500D-02
nd144   2.0000D-05   7.0556D-10     8.4756D-09    4.7632D-02	1.5096D-09    5.2500D-02
nd145   2.0000D-05   2.4776D-10     1.6261D-09    4.7632D-02	2.9158D-10    5.2500D-02
nd146   2.0000D-05   5.1564D-10     8.0316D-09    4.7632D-02	1.4810D-09    5.2500D-02
nd147   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
nd148   2.0000D-05   1.7558D-10     7.0934D-10    4.7632D-02	1.4082D-10    5.2500D-02
nd149   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
nd150   2.0000D-05   1.7423D-10     6.2010D-14    4.7632D-02	5.7209D-16    5.2500D-02
pm147   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pm148   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pm149   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
sm147   2.0000D-05   1.4588D-10     7.3032D-10    4.7632D-02	1.3509D-10    5.2500D-02
sm148   2.0000D-05   1.0748D-10     2.6905D-09    4.7632D-02	5.0097D-10    5.2500D-02
sm149   2.0000D-05   1.3193D-10     4.1782D-10    4.7632D-02	7.8714D-11    5.2500D-02
sm150   2.0000D-05   7.1257D-11     1.8139D-09    4.7632D-02	3.4449D-10    5.2500D-02
sm151   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
sm152   2.0000D-05   2.6047D-10     1.5469D-09    4.7632D-02	2.9701D-10    5.2500D-02
sm153   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
sm154   2.0000D-05   2.2445D-10     2.8236D-11    4.7632D-02	5.5340D-12    5.2500D-02
eu151   2.0000D-05   1.7464D-10     2.9662D-10    4.7632D-02	5.6606D-11    5.2500D-02
eu152   2.0000D-05   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
eu153   2.0000D-05   1.9331D-10     2.5263D-10    4.7632D-02	4.8379D-11    5.2500D-02
