Mass	Metallicity	Ba34	Ba35	Ba36	Ba37	Ba38	Ba39	Ba40
1.30	0.001	1.76650E-10	6.13940E-11	6.03360E-10	5.50790E-10	8.59830E-09	0.00000E+00	0.00000E+00
1.30	0.003	6.66700E-10	2.43990E-10	2.15350E-09	1.94410E-09	2.92020E-08	0.00000E+00	0.00000E+00
1.30	0.006	3.57770E-10	1.23440E-10	1.18950E-09	1.07440E-09	1.25330E-08	0.00000E+00	0.00000E+00
1.30	0.008	6.86440E-11	2.29360E-11	2.38790E-10	2.36150E-10	1.99680E-09	0.00000E+00	0.00000E+00
1.30	0.010	1.34470E-11	4.07830E-12	5.18110E-11	4.54350E-11	3.29600E-10	0.00000E+00	0.00000E+00
1.30	0.014	1.64540E-16	-2.91850E-15	2.14310E-15	-2.96080E-15	3.94780E-15	0.00000E+00	0.00000E+00
1.30	0.020	9.82380E-15	-3.02800E-15	3.02800E-15	5.33380E-25	4.48680E-15	0.00000E+00	0.00000E+00
1.50	0.001	8.67260E-10	3.07000E-10	3.09860E-09	2.86820E-09	4.34350E-08	0.00000E+00	0.00000E+00
1.50	0.003	1.47300E-09	5.42510E-10	4.59050E-09	4.00410E-09	6.56800E-08	1.59850E-28	2.56820E-32
1.50	0.006	2.88070E-09	1.05710E-09	8.24430E-09	6.97500E-09	9.22770E-08	0.00000E+00	0.00000E+00
1.50	0.008	3.03120E-09	1.10210E-09	8.38140E-09	6.99640E-09	7.67290E-08	0.00000E+00	0.00000E+00
1.50	0.010	3.75880E-09	1.35460E-09	1.00310E-08	8.21540E-09	7.79390E-08	0.00000E+00	0.00000E+00
1.50	0.014	1.48550E-09	5.24230E-10	3.75610E-09	2.99730E-09	2.18940E-08	0.00000E+00	0.00000E+00
1.50	0.020	4.32260E-10	1.44550E-10	1.03160E-09	7.71500E-10	4.42940E-09	0.00000E+00	0.00000E+00
2.00	0.001	1.40110E-09	4.96560E-10	4.81640E-09	5.95160E-09	8.54280E-08	1.16040E-30	2.72260E-36
2.00	0.003	6.33510E-09	2.26880E-09	2.21210E-08	2.00420E-08	3.07180E-07	1.92590E-23	4.05470E-27
2.00	0.006	1.35730E-08	5.08790E-09	4.28120E-08	3.53450E-08	4.33740E-07	1.76320E-32	2.42970E-40
2.00	0.008	1.30350E-08	4.83340E-09	3.78200E-08	3.12960E-08	3.21510E-07	1.12060E-28	4.52100E-33
2.00	0.010	1.37870E-08	5.07860E-09	3.83170E-08	3.08480E-08	2.82040E-07	0.00000E+00	0.00000E+00
2.00	0.014	9.02250E-09	3.27610E-09	2.31730E-08	1.80690E-08	1.38240E-07	0.00000E+00	0.00000E+00
2.00	0.020	7.50400E-09	2.64810E-09	1.77880E-08	1.33070E-08	9.09980E-08	0.00000E+00	0.00000E+00
2.50	0.001	1.40110E-09	4.96560E-10	4.81640E-09	5.95160E-09	8.54280E-08	1.16040E-30	2.72260E-36
2.50	0.003	6.33510E-09	2.26880E-09	2.21210E-08	2.00420E-08	3.07180E-07	1.92590E-23	4.05470E-27
2.50	0.006	1.35730E-08	5.08790E-09	4.28120E-08	3.53450E-08	4.33740E-07	1.76320E-32	2.42970E-40
2.50	0.008	1.30350E-08	4.83340E-09	3.78200E-08	3.12960E-08	3.21510E-07	1.12060E-28	4.52100E-33
2.50	0.010	1.37870E-08	5.07860E-09	3.83170E-08	3.08480E-08	2.82040E-07	0.00000E+00	0.00000E+00
2.50	0.014	9.02250E-09	3.27610E-09	2.31730E-08	1.80690E-08	1.38240E-07	0.00000E+00	0.00000E+00
2.50	0.020	7.50400E-09	2.64810E-09	1.77880E-08	1.33070E-08	9.09980E-08	0.00000E+00	0.00000E+00
3.00	0.001	6.68350E-10	2.09540E-10	2.19280E-09	4.75840E-09	3.48250E-08	5.82490E-28	3.51090E-30
3.00	0.003	3.01420E-09	9.70300E-10	9.98440E-09	1.25200E-08	1.64900E-07	2.30780E-29	3.71840E-33
3.00	0.006	1.04090E-08	3.50460E-09	3.40900E-08	3.08010E-08	4.10310E-07	1.25580E-44	0.00000E+00
3.00	0.008	1.45330E-08	5.01710E-09	4.68450E-08	4.00620E-08	4.20710E-07	0.00000E+00	0.00000E+00
3.00	0.010	1.85800E-08	6.64270E-09	5.62130E-08	4.56640E-08	4.04100E-07	0.00000E+00	0.00000E+00
3.00	0.014	1.50470E-08	5.45350E-09	4.14120E-08	3.19800E-08	2.39050E-07	0.00000E+00	0.00000E+00
3.00	0.020	9.59120E-09	3.42250E-09	2.36730E-08	1.76820E-08	1.28390E-07	0.00000E+00	0.00000E+00
2.50	0.001	1.04570E-09	3.63930E-10	3.65290E-09	6.13560E-09	6.21520E-08	1.20330E-39	0.00000E+00
2.50	0.003	6.47640E-09	2.23410E-09	2.20940E-08	2.37310E-08	3.65970E-07	0.00000E+00	0.00000E+00
2.50	0.006	2.23160E-08	8.41300E-09	7.25050E-08	6.14740E-08	7.02880E-07	0.00000E+00	0.00000E+00
2.50	0.008	2.52090E-08	9.48200E-09	7.46770E-08	6.17580E-08	6.06180E-07	0.00000E+00	0.00000E+00
2.50	0.010	2.62880E-08	9.89400E-09	7.30970E-08	5.86540E-08	5.07220E-07	0.00000E+00	0.00000E+00
2.50	0.014	1.78090E-08	6.57220E-09	4.61490E-08	3.58370E-08	2.73020E-07	0.00000E+00	0.00000E+00
2.50	0.020	9.72800E-09	3.45380E-09	2.30080E-08	1.73180E-08	1.28080E-07	0.00000E+00	0.00000E+00
